Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:00:15 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,     0.26,              1,       1e-08,       1e-08,    4,         3,       0.26,        0
   1,     0.74,              1,       1e-08,       1e-08,    2,         0,       0.74,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
      1,                  1,     0.035,           0.01            ,1            ,0,   5.08594960,   5.08594960,3331271.09575058,   0.05330034,  66.00000000, 835.60606061,   0.02595386
      2,                  1,0.03300000,     0.00900000            ,1.00000000            ,0.00000000,   5.58039144,   5.58039144,3095200.59800850,   0.04952321,  61.00000000, 851.67213115,   0.02186227
      3,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   5.23830952,   5.23830952,3053858.13447015,   0.04886173,  61.00000000, 818.29508197,   0.02328996
      4,                  1,0.03400000,     0.00800000            ,1.00000000            ,0.00000000,   5.32360979,   5.32360979,3132882.18244900,   0.05012611,  62.00000000, 843.74193548,   0.02329247
      5,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   5.17556546,   5.17556546,3052772.85881935,   0.04884436,  61.00000000, 818.14754098,   0.02357230
      6,                  1,0.03400000,     0.00900000            ,1.00000000            ,0.00000000,   5.02305298,   5.02305298,3374940.40622768,   0.05399905,  67.00000000, 833.86567164,   0.02667700
      7,                  1,0.03500000,     0.00900000            ,1.00000000            ,0.00000000,   5.39124530,   5.39124530,3119637.65434154,   0.04991420,  62.00000000, 841.75806452,   0.02300025
      8,                  1,0.03700000,     0.00800000            ,1.00000000            ,0.00000000,   4.98193247,   4.98193247,3250669.16515842,   0.05201071,  65.00000000, 825.92307692,   0.02609429
      9,                  1,0.03500000,     0.00900000            ,1.00000000            ,0.00000000,   5.41076976,   5.41076976,2965086.80714793,   0.04744139,  59.00000000, 827.45762712,   0.02180836
     10,                  1,0.03800000,     0.00900000            ,1.00000000            ,0.00000000,   5.21085659,   5.21085659,3181538.76056146,   0.05090462,  63.00000000, 841.98412698,   0.02418029
     11,                  1,0.03500000,     0.01000000            ,1.00000000            ,0.00000000,   5.30359384,   5.30359384,3230291.30634973,   0.05168466,  64.00000000, 842.20312500,   0.02413458
     12,                  1,0.03700000,     0.01000000            ,1.00000000            ,0.00000000,   5.02329420,   5.02329420,3211896.91424896,   0.05139035,  64.00000000, 817.20312500,   0.02548129
     13,                  1,0.03300000,     0.00900000            ,1.00000000            ,0.00000000,   5.34170766,   5.34170766,3164410.45208946,   0.05063057,  63.00000000, 837.39682540,   0.02358796
     14,                  1,0.03500000,     0.00800000            ,1.00000000            ,0.00000000,   5.01254746,   5.01254746,3382210.99518144,   0.05411537,  67.00000000, 833.52238806,   0.02673291
     15,                  1,0.03800000,     0.00900000            ,1.00000000            ,0.00000000,   4.71359766,   4.71359766,3458059.93718862,   0.05532896,  69.00000000, 810.21739130,   0.02927700
     16,                  1,0.03500000,     0.00900000            ,1.00000000            ,0.00000000,   5.04424679,   5.04424679,3376187.10349566,   0.05401899,  67.00000000, 836.64179104,   0.02656492
     17,                  1,0.03400000,     0.00900000            ,1.00000000            ,0.00000000,   5.29148667,   5.29148667,3234390.15872946,   0.05175024,  64.00000000, 839.70312500,   0.02418980
     18,                  1,0.03600000,     0.00800000            ,1.00000000            ,0.00000000,   4.89594370,   4.89594370,3419445.03455080,   0.05471112,  68.00000000, 822.16176471,   0.02777810
     19,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   5.08747576,   5.08747576,3334704.40653295,   0.05335527,  66.00000000, 837.45454545,   0.02594607
     20,                  1,0.03300000,     0.00900000            ,1.00000000            ,0.00000000,   5.32010988,   5.32010988,3182087.57533936,   0.05091340,  63.00000000, 835.57142857,   0.02368372
     21,                  1,0.03800000,     0.00800000            ,1.00000000            ,0.00000000,   5.10323544,   5.10323544,2987152.50194951,   0.04779444,  60.00000000, 808.23333333,   0.02351449
     22,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   5.05243043,   5.05243043,3370811.43621737,   0.05393298,  67.00000000, 839.64179104,   0.02652189
     23,                  1,0.03500000,     0.00900000            ,1.00000000            ,0.00000000,   4.87031811,   4.87031811,3478964.19375567,   0.05566343,  69.00000000, 826.18840580,   0.02833490
     24,                  1,0.03400000,     0.00900000            ,1.00000000            ,0.00000000,   5.41500961,   5.41500961,3016850.17048564,   0.04826960,  60.00000000, 832.93333333,   0.02216063
     25,                  1,0.03300000,     0.00800000            ,1.00000000            ,0.00000000,   5.32056580,   5.32056580,3125400.52623766,   0.05000641,  62.00000000, 830.82258065,   0.02330579
     26,                  1,0.03400000,     0.01000000            ,1.00000000            ,0.00000000,   5.42661510,   5.42661510,3076343.62891674,   0.04922150,  61.00000000, 838.22950820,   0.02248179
     27,                  1,0.03600000,     0.00900000            ,1.00000000            ,0.00000000,   5.00688944,   5.00688944,3319672.51160830,   0.05311476,  66.00000000, 831.16666667,   0.02636367
     28,                  1,0.03400000,     0.00800000            ,1.00000000            ,0.00000000,   5.41871010,   5.41871010,3018214.80711561,   0.04829144,  60.00000000, 827.81666667,   0.02214549
     29,                  1,0.03300000,     0.00900000            ,1.00000000            ,0.00000000,   5.38282676,   5.38282676,3171241.13263756,   0.05073986,  63.00000000, 839.93650794,   0.02340778
     30,                  1,0.03700000,     0.00900000            ,1.00000000            ,0.00000000,   5.00452012,   5.00452012,3313628.68285097,   0.05301806,  66.00000000, 821.01515152,   0.02637616
     31,                  1,0.03600000,     0.00800000            ,1.00000000            ,0.00000000,   5.03892843,   5.03892843,3193906.47693933,   0.05110250,  64.00000000, 816.90625000,   0.02540223
     32,                  1,0.03400000,     0.00900000            ,1.00000000            ,0.00000000,   5.53620766,   5.53620766,3030942.38010791,   0.04849508,  60.00000000, 855.18333333,   0.02167549
     33,                  1,0.03300000,     0.00800000            ,1.00000000            ,0.00000000,   5.91373833,   5.91373833,2773896.42981155,   0.04438234,  55.00000000, 851.30909091,   0.01860076
     34,                  1,0.03700000,     0.00900000            ,1.00000000            ,0.00000000,   4.92618665,   4.92618665,3359472.28433505,   0.05375156,  67.00000000, 825.17910448,   0.02720157
     35,                  1,0.03600000,     0.01100000            ,1.00000000            ,0.00000000,   4.97531028,   4.97531028,3508604.45215754,   0.05613767,  69.00000000, 840.81159420,   0.02773696
