Electric,Thermal, Mechanical Properties Estimation With Percolation Theory (ETMPEWPT) (2D version) 
Version 2.0 Percolation, Cluster Analysis, Electric - Thermal - Mechanical properties
Report starting: ;Mon May 26 15:02:26 2025
---------------------------------------------------------------------------------------------------
Inputs
    |#; % Weights; % Spec.Weights; X Dimension; Y Dimension; Type; Size type;       Area;     hoop;
     0;      0,4;         1,6532;       1e-08;       1e-08;    4;         3;   0,349947;    5e-10
     1;      0,3;          1,328;       1e-08;       1e-08;    3;         0;   0,326731;    5e-10
     2;      0,3;          1,342;       1e-09;       1e-08;    1;         0;   0,323322;    5e-10
Pixels Per minimum Size (ppms):;101
Factor [ppms / minimumSize]:;1,01e+10
Maximum Dimension:;1e-08
Minimum Dimension:;1e-08
Grid size;1.000;x;1.000
Total iterations: ;200
---------------------------------------------------------------------------------------------------
Realization No;PercolateY[1]/N[0];Process Time;Setup Time               ;% Real Area Comp[0]              ;% Real Area Comp[1]              ;% Real Area Comp[2];Electric Conductivity;Thermal Conductivity;Young Modulus;Poisson Ratio;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
      1;                  1;     0,148;          0,139            ;0,347406            ;0,328865            ;0,323729;16,00338273014335755;16,00338273014335755;28.767.072,07452744990587234;0,30201137593472710;127,00000000000000000;1.609,44094488188966352;0,00793582220343876
      2;                  1;0,06300000000000000;0,27500000000000002            ;0,34795099999999990            ;0,32854100000000003            ;0,32350800000000002;25,87751290645569213;25,87751290645569213;8.188.235,38983187358826399;0,30132242806907267;87,00000000000000000;1.711,05747126436790495;0,00336199233344005
      3;                  1;0,08900000000000000;0,13300000000000001            ;0,34677800000000003            ;0,32975399999999999            ;0,32346799999999998;19,95285014899011955;19,95285014899011955;15.002.379,69892106950283051;0,30166567682069628;100,00000000000000000;1.661,75000000000000000;0,00501181531727493
      4;                  1;0,09400000000000000;0,13500000000000001            ;0,34426400000000001            ;0,33234100000000000            ;0,32339499999999999;18,68141158217730791;18,68141158217730791;22.201.721,85339745506644249;0,30174037392016195;106,00000000000000000;1.625,63207547169804457;0,00567408943021884
      5;                  1;0,07199999999999999;0,12000000000000000            ;0,34639599999999993            ;0,33006099999999999            ;0,32354300000000003;17,80951631049291706;17,80951631049291706;25.108.392,35974462330341339;0,30181511105840392;112,00000000000000000;1.616,31250000000000000;0,00628877270148052
      6;                  1;0,07199999999999999;0,11500000000000000            ;0,34308699999999992            ;0,33355200000000002            ;0,32336100000000001;22,34074434119684938;22,34074434119684938;32.692.360,10212802141904831;0,30141182006424683;90,00000000000000000;1.577,05555555555565661;0,00402851393962008
      7;                  1;0,07199999999999999;0,12400000000000000            ;0,34289899999999995            ;0,33361600000000002            ;0,32348500000000002;22,42580946605113468;22,42580946605113468;25.991.236,86669879034161568;0,30142594529648969;89,00000000000000000;1.598,89887640449433093;0,00396864158391834
      8;                  1;0,08100000000000000;0,13600000000000001            ;0,34920799999999996            ;0,32739200000000002            ;0,32340000000000002;23,41015157415066383;23,41015157415066383;8.175.883,33942566532641649;0,30146753248418395;95,00000000000000000;1.717,75789473684221775;0,00405806855624542
      9;                  1;0,08900000000000000;0,11500000000000000            ;0,34916599999999998            ;0,32734600000000003            ;0,32348800000000000;19,52468137000462178;19,52468137000462178;152.668.231,33112815022468567;0,30148591413351161;85,00000000000000000;1.450,59999999999990905;0,00435346413030759
     10;                  1;0,06200000000000000;0,13100000000000001            ;0,34845100000000007            ;0,32818300000000000            ;0,32336599999999999;28,77200357043608037;28,77200357043608037;19.477.399,27081614360213280;0,30112063991221960;72,00000000000000000;1.612,15277777777782831;0,00250243261035814
     11;                  1;0,07500000000000000;0,14799999999999999            ;0,34792899999999993            ;0,32837200000000000            ;0,32369900000000001;24,62738650278028274;24,62738650278028274;5.647.930,53497249167412519;0,30142723354969464;93,00000000000000000;1.757,45161290322585046;0,00377628377211284
     12;                  1;0,06400000000000000;0,12300000000000000            ;0,34743599999999997            ;0,32915100000000003            ;0,32341300000000001;33,68827557068409106;33,68827557068409106;5.618.188,55010930262506008;0,30103132133988580;64,00000000000000000;1.737,17187500000000000;0,00189977073375918
     13;                  1;0,08500000000000001;0,12000000000000000            ;0,34760999999999997            ;0,32840100000000000            ;0,32398900000000003;18,04952115074809527;18,04952115074809527;19.605.211,42625119909644127;0,30181756959619982;115,00000000000000000;1.640,31304347826085177;0,00637136016183087
     14;                  1;0,06500000000000000;0,13300000000000001            ;0,34871300000000005            ;0,32776400000000000            ;0,32352300000000001;28,81241456385992805;28,81241456385992805;5.756.825,20278887450695038;0,30121108763366627;78,00000000000000000;1.744,71794871794872961;0,00270716637882329
     15;                  1;0,05000000000000000;0,11799999999999999            ;0,34313400000000005            ;0,33294800000000002            ;0,32391799999999998;40,17091133299184236;40,17091133299184236;4.696.542,10373291932046413;0,30086965913494990;56,00000000000000000;1.746,75000000000000000;0,00139404355394865
     16;                  1;0,07900000000000000;0,11500000000000000            ;0,34832299999999994            ;0,32822400000000002            ;0,32345299999999999;22,57412222456046180;22,57412222456046180;13.736.103,91851395927369595;0,30147361352897700;94,00000000000000000;1.663,27659574468088977;0,00416406002700423
     17;                  1;0,08699999999999999;0,13400000000000001            ;0,34384199999999998            ;0,33225500000000002            ;0,32390300000000000;23,96611761685774411;23,96611761685774411;12.645.081,84858331643044949;0,30139220220611423;88,00000000000000000;1.668,28409090909099177;0,00367185046017219
     18;                  1;0,06800000000000000;0,12500000000000000            ;0,34637000000000007            ;0,32998000000000000            ;0,32364999999999999;28,34153265061757665;28,34153265061757665;4.761.577,63993982598185539;0,30124808558040628;79,00000000000000000;1.768,63291139240504890;0,00278742864663949
     19;                  1;0,07400000000000000;0,12100000000000000            ;0,34867899999999996            ;0,32780700000000002            ;0,32351400000000002;18,61363892111271667;18,61363892111271667;33.655.945,13432723283767700;0,30170330099149328;108,00000000000000000;1.585,23148148148152359;0,00580219700498755
     20;                  1;0,03200000000000000;0,12700000000000000            ;0,34868399999999999            ;0,32787300000000003            ;0,32344299999999998;55,78562750283336413;55,78562750283336413;5.036.587,82008802611380816;0,30061530185347934;36,00000000000000000;1.716,25000000000000000;0,00064532750838326
     21;                  1;0,06900000000000001;0,12200000000000000            ;0,34947900000000010            ;0,32718399999999997            ;0,32333699999999999;23,45140922153552410;23,45140922153552410;27.785.340,60639707371592522;0,30135574329920833;88,00000000000000000;1.589,70454545454549589;0,00375243974333062
