Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:01:51 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.2,              1,       1e-08,       1e-08,    4,         3,        0.2,        0
   1,      0.8,              1,       1e-08,       1e-08,    2,         0,        0.8,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
      1,                  1,     0.044,           0.01            ,1            ,0,   3.44722552,   3.44722552,5084115.81884457,   0.08134585, 104.00000000, 753.79807692,   0.06033838
      2,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.37210569,   3.37210569,5558799.45828828,   0.08894079, 113.00000000, 757.97345133,   0.06702044
      3,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.34650611,   3.34650611,5612330.14533456,   0.08979728, 114.00000000, 756.07894737,   0.06813076
      4,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.40686562,   3.40686562,5417412.34416278,   0.08667860, 110.00000000, 762.95454545,   0.06457549
      5,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.41987851,   3.41987851,5363703.40090256,   0.08581925, 109.00000000, 760.77064220,   0.06374495
      6,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.47861328,   3.47861328,5416637.20183928,   0.08666619, 110.00000000, 764.01818182,   0.06324359
      7,                  1,0.04700000,     0.00900000            ,1.00000000            ,0.00000000,   3.35843370,   3.35843370,5297871.17207962,   0.08476594, 108.00000000, 751.37037037,   0.06431570
      8,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.52887348,   3.52887348,5332531.78395269,   0.08532051, 108.00000000, 767.49074074,   0.06120934
      9,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.52836899,   3.52836899,5167097.60322595,   0.08267356, 105.00000000, 763.75238095,   0.05951758
     10,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.33803546,   3.33803546,5502717.42445950,   0.08804348, 112.00000000, 754.43750000,   0.06710534
     11,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.40342918,   3.40342918,5461214.85721868,   0.08737944, 111.00000000, 759.52252252,   0.06522833
     12,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.60931335,   3.60931335,5069153.34985821,   0.08110645, 103.00000000, 765.09708738,   0.05707457
     13,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.33549356,   3.33549356,5656379.25676388,   0.09050207, 115.00000000, 758.04347826,   0.06895531
     14,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.39876697,   3.39876697,5456630.77733838,   0.08730609, 111.00000000, 757.40540541,   0.06531781
     15,                  1,0.04200000,     0.01000000            ,1.00000000            ,0.00000000,   3.64061244,   3.64061244,5126881.82534290,   0.08203011, 104.00000000, 768.21153846,   0.05713324
     16,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.59647329,   3.59647329,5069157.74501405,   0.08110652, 103.00000000, 768.92233010,   0.05727833
     17,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.46900293,   3.46900293,5261799.67825428,   0.08418879, 107.00000000, 758.32710280,   0.06168920
     18,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.38507368,   3.38507368,5515844.73116872,   0.08825351, 112.00000000, 759.81250000,   0.06617286
     19,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.55279897,   3.55279897,5277600.64605734,   0.08444161, 107.00000000, 766.66355140,   0.06023420
     20,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.38234466,   3.38234466,5402939.55761617,   0.08644703, 110.00000000, 753.40909091,   0.06504364
