Rerclolation 2d
Version 1.5.1 (Cluster Analysis - Electric, Thermal, Mechanical properties calculation (in progress...)Report starting: Thu Oct 19 10:06:41 2023

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,     0.32,              1,       1e-08,       1e-08,    4,         3,       0.32,        0
   1,     0.68,              1,       1e-08,       1e-08,    2,         0,       0.68,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[2000x2000]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
      1,                  1,     0.799,          0.197            ,0.319879            ,0.680121,      110.017,      110.017,  1.47857e+06,      9.46287,           24,      3433.67,  0.000109074
      2,                  0,     0.043,          0.158            ,0.318435            ,0.681565,            0,            0,       100000,          0.3,            0,            0,            0
      3,                  1,     0.231,          0.146            ,0.319931            ,0.680069,      534.064,      534.064,     1.66e+06,       10.624,            2,       3788.5,  1.87244e-06
      4,                  0,     0.034,          0.136            ,0.318541            ,0.681458,            0,            0,       100000,          0.3,            0,            0,            0
      5,                  1,     0.282,          0.136            ,0.31899            ,0.68101,      449.718,      449.718,      97337.7,     0.622961,            1,         2789,  1.11181e-06
      6,                  1,      0.18,          0.135            ,0.318344            ,0.681655,      643.034,      643.034,       246407,        1.577,            2,       3730.5,  1.55513e-06
      7,                  1,     0.081,          0.151            ,0.319492            ,0.680508,      975.449,      975.449,        61577,     0.394093,            1,         3892,  5.12584e-07
      8,                  0,     0.024,          0.134            ,0.318499            ,0.681501,            0,            0,       100000,          0.3,            0,            0,            0
      9,                  0,      0.04,          0.133            ,0.319178            ,0.680822,            0,            0,       100000,          0.3,            0,            0,            0
     10,                  0,      0.04,          0.136            ,0.319299            ,0.680701,            0,            0,       100000,          0.3,            0,            0,            0
