Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:39:57 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.4,              1,       1e-08,       1e-08,    4,         3,        0.4,        0
   1,      0.6,              1,       1e-08,       1e-08,    2,         0,        0.6,        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
      1,                  1,         0,          0.001            ,1            ,0,  37.57123853,  37.57123853,21718.03768045,   0.00694977,   2.00000000, 245.00000000,   0.00053232
      2,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,  29.96518362,  29.96518362,21709.60653930,   0.00694707,   2.00000000, 231.50000000,   0.00066744
      3,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  84.20000003,  84.20000003,9083.92901558,   0.00290686,   1.00000000, 266.00000000,   0.00011876
      4,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  53.92619058,  53.92619058,10411.24414368,   0.00333160,   1.00000000, 223.00000000,   0.00018544
      5,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  45.00000006,  45.00000006,11616.65053243,   0.00371733,   1.00000000, 178.00000000,   0.00022222
      6,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  62.19166672,  62.19166672,16210.79175565,   0.00518745,   1.00000000, 181.00000000,   0.00016079
      7,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  21.67251246,  21.67251246,22336.61420865,   0.00714772,   2.00000000, 188.50000000,   0.00092283
      8,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  33.74292851,  33.74292851,22293.68831843,   0.00713398,   2.00000000, 203.50000000,   0.00059272
      9,                  1,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,  74.53333342,  74.53333342,9649.21685397,   0.00308775,   1.00000000, 264.00000000,   0.00013417
     10,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  44.95000003,  44.95000003,10421.27202678,   0.00333481,   1.00000000, 201.00000000,   0.00022247
     11,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  53.62619057,  53.62619057,10178.36370686,   0.00325708,   1.00000000, 237.00000000,   0.00018648
     12,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  50.25952388,  50.25952388,12474.01247401,   0.00399168,   1.00000000, 151.00000000,   0.00019897
     13,                  1,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,  49.47619053,  49.47619053,12126.11156023,   0.00388036,   1.00000000, 198.00000000,   0.00020212
     14,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     15,                  0,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     16,                  0,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     17,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  50.45833343,  50.45833343,8891.52341435,   0.00284529,   1.00000000, 260.00000000,   0.00019818
     18,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     19,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     20,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  20.04948455,  20.04948455,22004.53303131,   0.00704145,   2.00000000, 180.50000000,   0.00099753
     21,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  23.59950275,  23.59950275,24905.09686302,   0.00796963,   2.00000000, 184.00000000,   0.00084748
     22,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  21.22939760,  21.22939760,24091.49795637,   0.00770928,   2.00000000, 174.00000000,   0.00094209
     23,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  54.89285721,  54.89285721,11749.01858396,   0.00375969,   1.00000000, 201.00000000,   0.00018217
     24,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  53.59285723,  53.59285723,10771.85468255,   0.00344699,   1.00000000, 226.00000000,   0.00018659
     25,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  62.49285725,  62.49285725,14084.17070299,   0.00450693,   1.00000000, 220.00000000,   0.00016002
     26,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  27.24740026,  27.24740026,21976.52711307,   0.00703249,   2.00000000, 215.00000000,   0.00073401
     27,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  72.79444457,  72.79444457,9818.01605947,   0.00314177,   1.00000000, 270.00000000,   0.00013737
     28,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  74.53333341,  74.53333341,9988.03630816,   0.00319617,   1.00000000, 270.00000000,   0.00013417
     29,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  26.86820889,  26.86820889,24934.16144080,   0.00797893,   2.00000000, 200.50000000,   0.00074437
     30,                  0,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     31,                  1,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,  54.60000007,  54.60000007,10961.76432207,   0.00350776,   1.00000000, 184.00000000,   0.00018315
     32,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  84.55119053,  84.55119053,9283.30662541,   0.00297066,   1.00000000, 295.00000000,   0.00011827
     33,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     34,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  27.62210978,  27.62210978,24433.27714677,   0.00781865,   2.00000000, 185.00000000,   0.00072406
     35,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  65.34444449,  65.34444449,12429.82997768,   0.00397755,   1.00000000, 215.00000000,   0.00015304
