Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:02 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;      0.3;              1;       1e-08;       1e-08;    4;         3;        0.3;        0
   1;      0.7;              1;       1e-08;       1e-08;    2;         0;        0.7;        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
      1;                  1;     0.001;          0.001            ;1            ;0;   4.84869883;   4.84869883;118336.84461804;   0.03786779;  10.00000000; 161.90000000;   0.02062409
      2;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.26194785;   6.26194785;95709.41834356;   0.03062701;   8.00000000; 164.12500000;   0.01277558
      3;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.28776503;   6.28776503;96584.63933763;   0.03090708;   8.00000000; 157.37500000;   0.01272312
      4;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.50538206;   6.50538206;80850.29877613;   0.02587210;   7.00000000; 165.42857143;   0.01076032
      5;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.07380998;   6.07380998;97592.52605964;   0.03122961;   8.00000000; 168.37500000;   0.01317130
      6;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   5.96881925;   5.96881925;93881.26929219;   0.03004201;   8.00000000; 164.62500000;   0.01340299
      7;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;  10.19373412;  10.19373412;62988.63556885;   0.02015636;   5.00000000; 174.60000000;   0.00490497
      8;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.95714094;   5.95714094;94896.54369627;   0.03036689;   8.00000000; 158.50000000;   0.01342926
      9;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.64872678;   6.64872678;94396.64408225;   0.03020693;   8.00000000; 166.12500000;   0.01203238
     10;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.91428930;   5.91428930;108630.57571725;   0.03476178;   9.00000000; 168.55555556;   0.01521738
     11;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   6.18506674;   6.18506674;98315.27037870;   0.03146089;   8.00000000; 167.62500000;   0.01293438
     12;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   6.63647236;   6.63647236;94549.03563813;   0.03025569;   8.00000000; 162.87500000;   0.01205460
     13;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.19954317;   6.19954317;96265.64426911;   0.03080501;   8.00000000; 162.50000000;   0.01290418
     14;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.17780689;   6.17780689;98324.18029018;   0.03146374;   8.00000000; 170.50000000;   0.01294958
     15;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.84579265;   5.84579265;106608.88523285;   0.03411484;   9.00000000; 164.88888889;   0.01539569
     16;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.05214478;   6.05214478;83598.68013096;   0.02675158;   7.00000000; 155.42857143;   0.01156615
     17;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   5.16797717;   5.16797717;91729.56948781;   0.02935346;   8.00000000; 154.87500000;   0.01547994
     18;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.65872186;   6.65872186;92580.62682654;   0.02962580;   8.00000000; 169.62500000;   0.01201432
     19;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   5.49638138;   5.49638138;121293.28947190;   0.03881385;  10.00000000; 169.70000000;   0.01819379
     20;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.42406297;   6.42406297;109495.31117018;   0.03503850;   9.00000000; 167.55555556;   0.01400983
     21;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   5.43627227;   5.43627227;106463.90757234;   0.03406845;   9.00000000; 166.55555556;   0.01655546
     22;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.03644266;   6.03644266;97073.79472219;   0.03106361;   8.00000000; 168.25000000;   0.01325284
     23;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   6.67722260;   6.67722260;100351.46325639;   0.03211247;   8.00000000; 165.87500000;   0.01198103
     24;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;  10.58433031;  10.58433031;61319.42518477;   0.01962222;   5.00000000; 175.40000000;   0.00472396
