Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:06 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,     0.25,              1,       1e-08,       1e-08,    4,         3,       0.25,        0
   1,     0.75,              1,       1e-08,       1e-08,    2,         0,       0.75,        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
      1,                  1,     0.002,              0            ,1            ,0,   4.15274211,   4.15274211,139978.62546670,   0.04479316,  12.00000000, 151.41666667,   0.02889657
      2,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.55533272,   3.55533272,177218.29922316,   0.05670985,  15.00000000, 151.46666667,   0.04219014
      3,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   4.85957990,   4.85957990,119324.38808955,   0.03818380,  10.00000000, 156.20000000,   0.02057791
      4,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.55001981,   3.55001981,152803.46443846,   0.04889711,  13.00000000, 147.61538462,   0.03661951
      5,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   4.27124702,   4.27124702,153772.47570381,   0.04920719,  13.00000000, 158.00000000,   0.03043608
      6,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.84192622,   3.84192622,154820.79275717,   0.04954265,  13.00000000, 152.30769231,   0.03383719
      7,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   2.97335453,   2.97335453,200246.17534071,   0.06407877,  17.00000000, 142.41176471,   0.05717448
      8,                  1,0.00200000,     0.00000000            ,1.00000000            ,0.00000000,   4.13099057,   4.13099057,165333.62578149,   0.05290676,  14.00000000, 154.35714286,   0.03389018
      9,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.02777554,   3.02777554,137706.62799800,   0.04406612,  12.00000000, 142.25000000,   0.03963306
     10,                  1,0.00100000,     0.00100000            ,1.00000000            ,0.00000000,   3.44569068,   3.44569068,176926.27295496,   0.05661641,  15.00000000, 148.73333333,   0.04353264
     11,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,   3.08159316,   3.08159316,176056.21099078,   0.05633799,  15.00000000, 141.93333333,   0.04867612
