Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:06 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;     0.24;              1;       1e-08;       1e-08;    4;         3;       0.24;        0
   1;     0.76;              1;       1e-08;       1e-08;    2;         0;       0.76;        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
      1;                  1;     0.002;              0            ;1            ;0;   4.79007527;   4.79007527;141427.16753939;   0.04525669;  12.00000000; 162.41666667;   0.02505180
      2;                  1;0.00200000;     0.00100000            ;1.00000000            ;0.00000000;   3.05040366;   3.05040366;199727.87612324;   0.06391292;  17.00000000; 147.11764706;   0.05573033
      3;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.67462873;   3.67462873;176309.15531659;   0.05641893;  15.00000000; 145.26666667;   0.04082045
      4;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.64261140;   4.64261140;153576.14984554;   0.04914437;  13.00000000; 160.23076923;   0.02800148
      5;                  1;0.00100000;     0.00200000            ;1.00000000            ;0.00000000;   3.74033742;   3.74033742;177159.76226225;   0.05669112;  15.00000000; 155.33333333;   0.04010333
      6;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.42573807;   3.42573807;174454.74714959;   0.05582552;  15.00000000; 142.66666667;   0.04378618
      7;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.22411476;   3.22411476;174558.22006853;   0.05585863;  15.00000000; 147.53333333;   0.04652440
      8;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.16356389;   3.16356389;160466.01170032;   0.05134912;  14.00000000; 140.35714286;   0.04425389
      9;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.49915088;   3.49915088;163553.61163228;   0.05233715;  14.00000000; 150.14285714;   0.04000971
     10;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.67619991;   4.67619991;164172.50743770;   0.05253520;  14.00000000; 164.64285714;   0.02993884
     11;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.76117854;   3.76117854;175814.26298525;   0.05626056;  15.00000000; 150.26666667;   0.03988112
     12;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   2.87469604;   2.87469604;199612.78276746;   0.06387609;  17.00000000; 144.94117647;   0.05913669
     13;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.53825867;   3.53825867;188134.00752555;   0.06020288;  16.00000000; 150.75000000;   0.04521998
