Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:03:59 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;     0.33;              1;       1e-08;       1e-08;    4;         3;       0.33;        0
   1;     0.67;              1;       1e-08;       1e-08;    2;         0;       0.67;        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
      1;                  1;     0.023;          0.009            ;1            ;0;  12.35623968;  12.35623968;1201334.79009432;   0.01922136;  24.00000000; 950.25000000;   0.00388468
      2;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.94282002;  11.94282002;1253295.99627856;   0.02005274;  25.00000000; 963.36000000;   0.00418662
      3;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.58010362;  11.58010362;1318717.04489867;   0.02109947;  26.00000000; 933.73076923;   0.00449046
      4;                  1;0.02600000;     0.00800000            ;1.00000000            ;0.00000000;  10.27664728;  10.27664728;1452062.51937348;   0.02323300;  29.00000000; 943.00000000;   0.00564386
      5;                  1;0.02600000;     0.00900000            ;1.00000000            ;0.00000000;  12.36040503;  12.36040503;1198933.41455889;   0.01918293;  24.00000000; 948.58333333;   0.00388337
      6;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.53721932;  11.53721932;1248088.89087956;   0.01996942;  25.00000000; 934.76000000;   0.00433380
      7;                  1;0.02200000;     0.01000000            ;1.00000000            ;0.00000000;  12.63442171;  12.63442171;1198578.59464397;   0.01917726;  24.00000000; 984.75000000;   0.00379914
      8;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.04573492;  12.04573492;1310797.78235637;   0.02097276;  26.00000000; 989.53846154;   0.00431688
      9;                  1;0.02200000;     0.00800000            ;1.00000000            ;0.00000000;  12.93034259;  12.93034259;1151340.75206184;   0.01842145;  23.00000000; 957.47826087;   0.00355752
     10;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  13.84226064;  13.84226064;1088138.26267229;   0.01741021;  22.00000000;1009.95454545;   0.00317867
     11;                  1;0.02300000;     0.00800000            ;1.00000000            ;0.00000000;  11.99844661;  11.99844661;1267251.49102692;   0.02027602;  25.00000000; 953.44000000;   0.00416721
     12;                  1;0.02200000;     0.00800000            ;1.00000000            ;0.00000000;  12.04908495;  12.04908495;1242187.32388462;   0.01987500;  25.00000000; 976.32000000;   0.00414969
     13;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  12.10744541;  12.10744541;1197782.24919497;   0.01916452;  24.00000000; 937.37500000;   0.00396450
     14;                  1;0.01900000;     0.00900000            ;1.00000000            ;0.00000000;  14.51788692;  14.51788692;1054943.03344076;   0.01687909;  21.00000000; 981.76190476;   0.00289298
     15;                  1;0.02300000;     0.00800000            ;1.00000000            ;0.00000000;  12.08172564;  12.08172564;1310203.51097243;   0.02096326;  26.00000000;1004.11538462;   0.00430402
     16;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.06847318;  12.06847318;1231443.95978210;   0.01970310;  25.00000000;1003.04000000;   0.00414303
     17;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.22334747;  12.22334747;1259944.22582586;   0.02015911;  25.00000000; 976.68000000;   0.00409053
     18;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  11.68452425;  11.68452425;1319215.05649739;   0.02110744;  26.00000000; 963.57692308;   0.00445033
     19;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.47584736;  11.47584736;1300666.36527008;   0.02081066;  26.00000000; 957.69230769;   0.00453126
     20;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  12.00212175;  12.00212175;1199438.50701282;   0.01919102;  24.00000000; 932.33333333;   0.00399929
     21;                  1;0.02600000;     0.00900000            ;1.00000000            ;0.00000000;  10.97419445;  10.97419445;1293540.49485582;   0.02069665;  26.00000000; 926.92307692;   0.00473839
     22;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.63240965;  11.63240965;1353011.13115361;   0.02164818;  27.00000000; 995.22222222;   0.00464220
     23;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  10.99156459;  10.99156459;1353973.60401278;   0.02166358;  27.00000000; 946.44444444;   0.00491286
     24;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  13.12710626;  13.12710626;1220503.06038782;   0.01952805;  24.00000000; 982.79166667;   0.00365656
